generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1782494587-cIeqqStKBP8IP1BQ6tej,2026-06-26 17:23:07.191,0.000407,,-0.000626,,0,1313,112,0,1278,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,2936,1916,finance-parse-eval,menara-sunnah
gen-1782494583-5a1O8zYJR8dt9uz65lWy,2026-06-26 17:23:03.169,0.000561,,-0.000626,,0,1301,185,0,1278,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3657,2121,finance-parse-eval,menara-sunnah
gen-1782494579-XiZS8BCC14WugVDgd6ve,2026-06-26 17:22:59.115,0.000639,,-0.000565,,0,1309,191,0,1155,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3677,1951,finance-parse-eval,menara-sunnah
gen-1782494577-KpEyKgYHDTHrDK3mzt8E,2026-06-26 17:22:57.225,0.000811,,,,0,1798,241,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1346,764,,menara-sunnah
gen-1782494575-gUG7CIkal8WqD1fxFows,2026-06-26 17:22:55.159,0.000672,,,,0,1812,146,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1502,1419,,menara-sunnah
gen-1782494573-xCfrzdDUl40d6itf8af0,2026-06-26 17:22:53.058,0.000824,,,,0,1810,248,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1538,815,,menara-sunnah
gen-1782494571-Q6yVXpUL1fhdPi4JNTON,2026-06-26 17:22:51.116,0.000824,,,,0,1811,248,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1394,851,,menara-sunnah
gen-1782494564-tBUfACPm5iCWB0VWgvbc,2026-06-26 17:22:44.274,0.0002,,-0.000037,,0,1272,238,0,1248,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,6456,594,,menara-sunnah
gen-1782494561-yruGUY24577tJndYEV5L,2026-06-26 17:22:40.832,0.00017,,-0.000037,,0,1286,148,0,1248,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,3072,684,,menara-sunnah
gen-1782494556-5fLyfa1xNoWtXSjzgBOu,2026-06-26 17:22:36.257,0.000204,,-0.000037,,0,1284,245,0,1248,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4178,777,,menara-sunnah
gen-1782494550-625HZXYMXReWLSPkLWRv,2026-06-26 17:22:29.875,0.000239,,,,0,1285,236,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,6003,908,,menara-sunnah
gen-1782494536-KZx76rcjgZUq3TCdeA8o,2026-06-26 17:22:16.157,0.0013,,,,0,1202,233,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1962,1368,,menara-sunnah
gen-1782494534-kukbHD1a0I428ICHXTvn,2026-06-26 17:22:13.763,0.001193,,,,0,1817,95,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1817,1333,,menara-sunnah
gen-1782494520-B0nCVeREv11qqwxaTmze,2026-06-26 17:22:00.224,0.001015,,,,0,1214,136,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1585,1279,,menara-sunnah
gen-1782494515-nAz4oOvpwPTwnfevIBwL,2026-06-26 17:21:55.376,0.001634,,,,0,1816,242,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,4276,3050,,menara-sunnah
gen-1782494509-EKQiKsW7bkV9RDQUCsNe,2026-06-26 17:21:49.683,0.000484,,-0.000348,,0,1242,192,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,5302,551,finance-parse-eval,menara-sunnah
gen-1782494506-8z5Blt6vhsLrw5M7I1DD,2026-06-26 17:21:45.598,0.000302,,-0.000389,,0,1256,108,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,3527,751,finance-parse-eval,menara-sunnah
gen-1782494496-sjqvWXMKbySP95dmvNzM,2026-06-26 17:21:35.987,0.000426,,-0.000389,,0,1244,182,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,9245,3996,finance-parse-eval,menara-sunnah
gen-1782494491-Ca5TkYGVGAj2QI7KOT1T,2026-06-26 17:21:31.316,0.000481,,-0.000348,,0,1252,188,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,4241,443,finance-parse-eval,menara-sunnah
gen-1782494487-nMu16XO1jfKuRGZVayZP,2026-06-26 17:21:26.538,0.000602,,-0.000629,,0,1306,204,0,1285,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,4025,1984,finance-parse-eval,menara-sunnah
gen-1782494483-RgVb1gH4dQRIcf5eDYgL,2026-06-26 17:21:23.634,0.000408,,-0.000629,,0,1320,112,0,1285,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,2552,2119,finance-parse-eval,menara-sunnah
gen-1782494479-25GShwljbz0qyuwviM2a,2026-06-26 17:21:19.343,0.000562,,-0.000629,,0,1308,185,0,1285,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3943,2084,finance-parse-eval,menara-sunnah
gen-1782494475-FweKvYwQCbX9VhHyjnr5,2026-06-26 17:21:15.076,0.000643,,-0.000565,,0,1316,191,0,1155,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3910,2570,finance-parse-eval,menara-sunnah
gen-1782494473-qPGU9EwT4kfvoJEasZ24,2026-06-26 17:21:13.190,0.000819,,,,0,1803,246,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1338,724,,menara-sunnah
gen-1782494471-ua0WRAUHXlZW3PLMTUbh,2026-06-26 17:21:11.504,0.000671,,,,0,1817,145,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1124,670,,menara-sunnah
gen-1782494469-jJOVBmm13SobcqzFP71F,2026-06-26 17:21:09.576,0.000791,,,,0,1815,225,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1377,831,,menara-sunnah
gen-1782494467-qrdsiQSIFvqbH9J9VLUx,2026-06-26 17:21:07.092,0.000827,,,,0,1816,249,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1920,916,,menara-sunnah
gen-1782494460-KcuSnbkqxoUxwQCdqYzz,2026-06-26 17:21:00.155,0.000201,,-0.000037,,0,1279,237,0,1248,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,6540,1260,,menara-sunnah
gen-1782494450-sZulRs5DDEnKBnYTCl1w,2026-06-26 17:20:50.591,0.000209,,,,0,1293,150,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,9225,583,,menara-sunnah
gen-1782494442-cjav6Kf44rKg9m6KGHvB,2026-06-26 17:20:42.305,0.000253,,,,0,1231,246,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,7635,420,,menara-sunnah
gen-1782494435-eHik9z58BhSWmWJ25MsB,2026-06-26 17:20:35.109,0.000249,,,,0,1232,236,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,6804,405,,menara-sunnah
gen-1782494432-WAdQKlHtrdtogYlSrerJ,2026-06-26 17:20:31.903,0.001372,,,,0,1869,146,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2248,1535,,menara-sunnah
gen-1782494429-VQQQzQK8dgGVLsbh1yZz,2026-06-26 17:20:28.992,0.001382,,,,0,1883,147,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2209,1353,,menara-sunnah
gen-1782494426-wmFsl2wqCN3xbcyA4M6L,2026-06-26 17:20:25.857,0.001681,,,,0,1881,247,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2565,1234,,menara-sunnah
gen-1782494422-Ds5cxbNOxHX8X2aOBXxm,2026-06-26 17:20:22.329,0.001667,,,,0,1882,242,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2962,1827,,menara-sunnah
gen-1782494419-7571ebnAMy0BVxsBhtZb,2026-06-26 17:20:19.446,0.000307,,-0.000409,,0,1303,112,0,1280,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2511,1070,finance-parse-eval,menara-sunnah
gen-1782494416-PrMiae8Y3blLdbs47df6,2026-06-26 17:20:15.797,0.000306,,-0.000409,,0,1317,108,0,1280,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,3329,1050,finance-parse-eval,menara-sunnah
gen-1782494411-VfUXtO4BbVt6WOgpcVNd,2026-06-26 17:20:10.813,0.000849,,-0.00002,,0,1305,199,0,64,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,4637,806,finance-parse-eval,menara-sunnah
gen-1782494404-3lAEhIoHOzIojwLU6sUZ,2026-06-26 17:20:04.193,0.000496,,-0.000389,,0,1313,206,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,6217,1771,finance-parse-eval,menara-sunnah
gen-1782494400-obVJFvb0LQRNz42MyiIF,2026-06-26 17:19:59.789,0.000618,,-0.000659,,0,1367,208,0,1346,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,4029,1893,finance-parse-eval,menara-sunnah
gen-1782494396-IOkSVoOKvsxqKdrHjsLd,2026-06-26 17:19:56.336,0.000415,,-0.000659,,0,1381,112,0,1346,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,2630,2039,finance-parse-eval,menara-sunnah
gen-1782494392-vtIawKv8n4fmHtp1RxzS,2026-06-26 17:19:52.314,0.000568,,-0.000659,,0,1369,185,0,1346,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3676,1977,finance-parse-eval,menara-sunnah
gen-1782494388-dIgqlTSLfSwMiXKkCfpF,2026-06-26 17:19:48.079,0.000606,,-0.000639,,0,1377,191,0,1306,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3854,2021,finance-parse-eval,menara-sunnah
gen-1782494386-kCaH45GzhzwL1v8YLSWT,2026-06-26 17:19:46.134,0.000816,,,,0,1869,233,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1414,857,,menara-sunnah
gen-1782494384-tMvf4rreyLPfGQB2BrNb,2026-06-26 17:19:44.161,0.000688,,,,0,1883,145,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,995,727,,menara-sunnah
gen-1782494382-chL925TbAloh1GIbDLUv,2026-06-26 17:19:42.143,0.000822,,,,0,1881,235,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1452,849,,menara-sunnah
gen-1782494380-smofPyzUh0e7BNALwxZD,2026-06-26 17:19:40.001,0.000854,,,,0,1882,256,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1552,1003,,menara-sunnah
gen-1782494370-dXgfBLhoyLksCi6dC1Iv,2026-06-26 17:19:30.090,0.000257,,,,0,1285,237,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,9204,941,,menara-sunnah
gen-1782494365-yWPcBemYeCITlPWp3ON1,2026-06-26 17:19:25.298,0.000224,,,,0,1299,147,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,4159,398,,menara-sunnah
gen-1782494359-5mqF7cG4tWXpDMW29lbA,2026-06-26 17:19:19.450,0.00021,,-0.000039,,0,1352,244,0,1312,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,5466,1654,,menara-sunnah
gen-1782494353-zKQ46hhX1QNiP627S18S,2026-06-26 17:19:13.018,0.000247,,,,0,1353,236,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,6051,824,,menara-sunnah
gen-1782494350-256jMXNFIdih3jhwfyUH,2026-06-26 17:19:09.379,0.001651,,,,0,1827,246,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2381,1209,,menara-sunnah
gen-1782494345-WV7hSH83FzAJJENizHAy,2026-06-26 17:19:05.597,0.001361,,,,0,1841,147,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,3207,2493,,menara-sunnah
gen-1782494339-oIZIAciF0Pesw0AlquWW,2026-06-26 17:18:59.053,0.001654,,,,0,1839,245,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,5805,4297,,menara-sunnah
gen-1782494331-f6Fqx252hHKdVIiFkdPS,2026-06-26 17:18:51.191,0.001694,,,,0,1840,258,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,7303,5875,,menara-sunnah
gen-1782494328-CKK3cXB1pnsHT9SRanIS,2026-06-26 17:18:48.356,0.000315,,-0.000389,,0,1263,114,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2468,605,finance-parse-eval,menara-sunnah
gen-1782494326-KE7F8zwkkIQRpVf6xMCV,2026-06-26 17:18:45.988,0.00031,,-0.000389,,0,1277,108,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2006,522,finance-parse-eval,menara-sunnah
gen-1782494322-B329cbeKYjG31NNU7hKT,2026-06-26 17:18:42.651,0.000435,,-0.000389,,0,1265,182,0,1216,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2934,606,finance-parse-eval,menara-sunnah
gen-1782494317-YFM9U21HFyLWiMxH3ja9,2026-06-26 17:18:37.411,0.000518,,-0.000348,,0,1273,204,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,4856,456,finance-parse-eval,menara-sunnah
gen-1782494313-EHHO6Mohva5v7wPj97Oh,2026-06-26 17:18:33.264,0.000578,,-0.000639,,0,1327,192,0,1306,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3802,1910,finance-parse-eval,menara-sunnah
gen-1782494310-tsYmS6BavCXiUW9YdPAE,2026-06-26 17:18:30.147,0.000411,,-0.000639,,0,1341,112,0,1306,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,2748,2300,finance-parse-eval,menara-sunnah
gen-1782494306-EkUIT7xbMylUaXuNw0F6,2026-06-26 17:18:26.121,0.000564,,-0.000639,,0,1329,185,0,1306,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3660,1956,finance-parse-eval,menara-sunnah
gen-1782494302-0WIp8WdTG9QoxdfFSsSP,2026-06-26 17:18:21.800,0.000657,,-0.000564,,0,1337,191,0,1152,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3963,2241,finance-parse-eval,menara-sunnah
gen-1782494300-5MqGQQSGQckIzdaPJ57Q,2026-06-26 17:18:19.861,0.000806,,,,0,1827,233,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1371,792,,menara-sunnah
gen-1782494298-fpkzI5ym3lZ6BWyappAP,2026-06-26 17:18:18.049,0.000677,,,,0,1841,145,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1238,909,,menara-sunnah
gen-1782494295-XVgEzW9XnE7FbcFtwiNJ,2026-06-26 17:18:15.503,0.000836,,,,0,1839,251,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1978,906,,menara-sunnah
gen-1782494293-Ul4DjUuDH0qAvEorqWHP,2026-06-26 17:18:13.372,0.000832,,,,0,1840,248,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1565,885,,menara-sunnah
gen-1782494288-EvIeQ8bmecnxdDJp1FYb,2026-06-26 17:18:08.267,0.000203,,-0.000037,,0,1298,237,0,1248,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4609,863,,menara-sunnah
gen-1782494283-QyiT6tLvgMC83u2cBp31,2026-06-26 17:18:03.599,0.00021,,,,0,1312,148,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4335,829,,menara-sunnah
gen-1782494271-MsKlzp0ytK4vD565SkzX,2026-06-26 17:17:51.401,0.000256,,,,0,1255,246,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,11834,2237,,menara-sunnah
gen-1782494259-JODGxtTzZucz8BPyXQuU,2026-06-26 17:17:39.573,0.000253,,,,0,1256,238,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,11486,733,,menara-sunnah
gen-1782494257-YflH8IrX7P0qiUOVc0oI,2026-06-26 17:17:36.945,0.001264,,,,0,1676,142,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2084,1327,,menara-sunnah
gen-1782494255-J1iDG9FT265VcUAMpkmk,2026-06-26 17:17:34.846,0.00113,,,,0,1690,95,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1545,1009,,menara-sunnah
gen-1782494252-Tc3v3NWwsQRat2fBxXCb,2026-06-26 17:17:32.335,0.001261,,,,0,1688,139,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1965,1312,,menara-sunnah
gen-1782494249-V5RMs9Z3ienxJSK3L3lu,2026-06-26 17:17:28.951,0.001615,,,,0,1689,257,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2826,1448,,menara-sunnah
gen-1782494243-sPYi1Rerb160jzg7fDdr,2026-06-26 17:17:23.150,0.000331,,-0.000348,,0,1112,134,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,5479,697,finance-parse-eval,menara-sunnah
gen-1782494240-868ODJOsYoItKJNRDQiW,2026-06-26 17:17:20.366,0.000291,,-0.000348,,0,1126,108,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,2448,531,finance-parse-eval,menara-sunnah
gen-1782494235-6oHDDwbU1ypCwb4qT0X9,2026-06-26 17:17:15.344,0.000415,,-0.000348,,0,1114,182,0,1088,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,4678,578,finance-parse-eval,menara-sunnah
gen-1782494229-az2ELHMFJrIF4pkO3cJc,2026-06-26 17:17:08.748,0.000752,,-0.00002,,0,1122,185,0,64,z-ai/glm-4.7-20251222,DeepInfra,standard,false,true,,stop,stop,6265,456,finance-parse-eval,menara-sunnah
gen-1782494224-yzFrXovjrgrY2aidOVgU,2026-06-26 17:17:04.598,0.000552,,-0.000575,,0,1176,192,0,1175,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3808,1921,finance-parse-eval,menara-sunnah
gen-1782494222-Vmuv9DL5pJ0W4BQel1im,2026-06-26 17:17:01.880,0.000377,,-0.000582,,0,1190,112,0,1189,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,2305,1878,finance-parse-eval,menara-sunnah
gen-1782494218-1nBlu9i3vpHMtpUy1QPb,2026-06-26 17:16:58.018,0.000537,,-0.000576,,0,1178,185,0,1177,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3504,1873,finance-parse-eval,menara-sunnah
gen-1782494214-keteXM71uanGdtJyT8hf,2026-06-26 17:16:54.014,0.000542,,-0.00058,,0,1186,187,0,1185,z-ai/glm-4.5,Z.AI,standard,false,true,,stop,stop,3606,1934,finance-parse-eval,menara-sunnah
gen-1782494212-Ggg9ma7l10xK8Rb0MTCA,2026-06-26 17:16:52.015,0.000768,,,,0,1676,233,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1445,853,,menara-sunnah
gen-1782494210-HhpQzEPEmtwklkVjBrDz,2026-06-26 17:16:50.234,0.00064,,,,0,1690,145,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1221,749,,menara-sunnah
gen-1782494208-Oyi8RgUBiy39EhZpeuak,2026-06-26 17:16:48.239,0.000762,,,,0,1688,227,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1446,920,,menara-sunnah
gen-1782494206-kRB7cDqVkpPiMCjGuRE3,2026-06-26 17:16:46.170,0.000798,,,,0,1689,251,0,0,google/gemini-3.1-flash-lite-20260507,Google,standard,false,true,,STOP,stop,1458,806,,menara-sunnah
gen-1782494201-z2QPJTmgcbBihHNvzPiq,2026-06-26 17:16:41.117,0.000189,,-0.000033,,0,1144,237,0,1120,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4619,636,,menara-sunnah
gen-1782494196-PeaU5ouoMVU833R8xx9m,2026-06-26 17:16:36.490,0.000199,,,,0,1106,147,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,4199,379,,menara-sunnah
gen-1782494188-jpRUJ0zq9nwjsajuVhvz,2026-06-26 17:16:27.344,0.000235,,,,0,1104,242,0,0,google/gemma-4-31b-it-20260402,DeepInfra,standard,false,true,,stop,stop,7976,710,,menara-sunnah
gen-1782494182-IOQqDlR7H6gDOaA7Zi7K,2026-06-26 17:16:22.060,0.000223,,,,0,1157,236,0,0,google/gemma-4-31b-it-20260402,Venice,standard,false,true,,stop,stop,4190,815,,menara-sunnah
gen-1782493721-A1Kvit7BYUmlZTV5scEq,2026-06-26 17:08:41.671,0.001801,,,,0,1701,317,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2563,1095,,menara-sunnah
gen-1782493708-45EaWjvsdr40hlCrS2TT,2026-06-26 17:08:28.243,0.000961,,,,0,1083,140,0,0,google/gemini-3-flash-preview-20251217,Google AI Studio,standard,false,true,,STOP,stop,1761,1380,,menara-sunnah
gen-1782493705-wBp415uykcT2hdHiPczX,2026-06-26 17:08:25.741,0.00113,,,,0,1679,97,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1955,1433,,menara-sunnah
gen-1782493703-oXT6KPxVbWMNSPKDMFpC,2026-06-26 17:08:23.475,0.000935,,,,0,1679,32,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1698,1509,,menara-sunnah
gen-1782493701-TG7vBRld9adl2cL58xbW,2026-06-26 17:08:21.141,0.001115,,,,0,1672,93,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1730,1289,,menara-sunnah
gen-1782493691-78gPSogvUQJpAmMVvtmI,2026-06-26 17:08:11.373,0.001543,,,,0,1676,235,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,8999,7786,,menara-sunnah
gen-1782493689-nKr2AtWCcnCtq1MDbdNT,2026-06-26 17:08:09.001,0.001263,,,,0,1687,140,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1806,1046,,menara-sunnah
gen-1782493687-KXvte3Ii9erQ32Qp4J8L,2026-06-26 17:08:06.737,0.001099,,,,0,1676,87,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1642,1170,,menara-sunnah
gen-1782493682-W0UIMZiDDDBiIdQLr4A2,2026-06-26 17:08:02.495,0.001284,,,,0,1686,147,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,3669,2832,,menara-sunnah
gen-1782493680-VVGAHaayi6k6HkvPa7gi,2026-06-26 17:08:00.488,0.000969,,,,0,1681,43,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1426,1154,,menara-sunnah
gen-1782493678-956ftVWsM2IhXtW9p40G,2026-06-26 17:07:57.940,0.001257,,,,0,1680,139,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1982,1311,,menara-sunnah
gen-1782493675-8rWkqwORjJeob9oNdpUY,2026-06-26 17:07:55.604,0.001261,,,,0,1688,139,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1778,1074,,menara-sunnah
gen-1782493673-pWsaAnZssQmw8Vb4S7lG,2026-06-26 17:07:53.125,0.001291,,,,0,1688,149,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1920,1202,,menara-sunnah
gen-1782493670-3w1rdjfZUc128YgCNBZG,2026-06-26 17:07:50.161,0.001464,,,,0,1693,206,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,2407,1372,,menara-sunnah
gen-1782493668-k2IOLGVHkJ21aWxJkWfU,2026-06-26 17:07:47.857,0.001111,,,,0,1683,90,0,0,google/gemini-3-flash-preview-20251217,Google,standard,false,true,,STOP,stop,1725,1171,,menara-sunnah
